Product ID,Batch,Qty,D1,D2,D3
2799,B#-KHI-MAY21-02-20052021-djj,2,NO,NO,NO
2799,B#-KHI-MAY21-02-20052021,8,NO,NO,NO
2595,B#-APR21-2-01022021-ADJ,1,NO,NO,NO
2595,B#-APR21-2-01022021,10,NO,NO,NO
1075,B#-KHI-JULY21-04-31072021-01-dj,33,NO,NO,NO
1075,B#-KHI-JULY21-04-31072021-01-djj,39,NO,NO,NO
1075,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
1016,B#-1,6,NO,NO,NO
3456,B#-KHI-MAY21-01-04052021,26,NO,NO,NO
3456,B#-KHI-MAY21-01-04052021-dj,23,NO,NO,NO
3456,B#-KHI-MAY21-02-200520210-dj,432,NO,NO,NO
3456,B#-KHI-MAY21-01-04052021-djj,62,NO,NO,NO
3456,B#-KHI-MAY21-02-20052021,48,NO,NO,NO
3457,B#-KHI-JULY21-03-27072021-dj,42,NO,NO,NO
3457,B#-KHI-JULY21-03-27072021-djj,47,NO,NO,NO
3457,B#-KHI-JULY21-03-27072021,81,NO,NO,NO
3458,B#-KHI-JULY21-03-27072021,39,NO,NO,NO
3597,B#-KHI-MAY21-02-20052021-dj,74,NO,NO,NO
3597,B#-KHI-MAY21-03-29052021-dj,240,NO,NO,NO
3597,B#-KHI-MAY21-02-20052021-djj,13,NO,NO,NO
3597,B#-KHI-MAY21-02-20052021,27,NO,NO,NO
3597,B#-KHI-MAY21-03-29052021,48,NO,NO,NO
922,B#-KHI-JULY21-01-06052021,48,NO,NO,NO
922,B#-KHI-JUNE21-01-07062021,48,NO,NO,NO
922,B#-KHI-JUNE21-01-07062021-dj,48,NO,NO,NO
922,B#-KHI-MAY21-02-20052021,42,NO,NO,NO
3757,B#-13072021-ADJ,31,NO,NO,NO
3460,B#-KHI-JULY21-04-31072021-01-djj,49,NO,NO,NO
3460,B#-KHI-JULY21-04-31072021-01,72,NO,NO,NO
3594,B#-KHI-JULY21-04-31072021-01,46,NO,NO,NO
3669,B#-KHI-JULY21-04-31072021-01-djj,62,NO,NO,NO
3669,B#-KHI-JULY21-04-31072021-01,76,NO,NO,NO
977,B#-KHI-AUG21-02-06082021-01,57,NO,NO,NO
977,B#-KHI-AUG21-02-06082021-01-djj,86,NO,NO,NO
977,B#-KHI-JULY21-03-27072021,3,NO,NO,NO
2639,B#-KHI-JULY21-03-27072021-dj,25,NO,NO,NO
2639,B#-KHI-JULY21-03-27072021-djj,1,NO,NO,NO
2639,B#-KHI-JULY21-03-27072021,22,NO,NO,NO
2639,B#-KHI-JULY21-04-31072021-01,47,NO,NO,NO
3798,B#-KHI-AUG21-01-06082021,79,NO,NO,NO
3798,B#-KHI-JULY21-01-06052021,1,NO,NO,NO
950,B#-KHI-JULY21-01-06052021-dj,6,NO,NO,NO
950,B#-KHI-AUG21-01-06082021-dj,137,NO,NO,NO
3595,B#-29062021-ADJ-1-01-01,2,NO,NO,NO
3595,B#-KHI-AUG21-01-06082021,80,NO,NO,NO
3595,B#-KHI-JULY21-04-31072021-01-djj,2,NO,NO,NO
3595,B#-KHI-JULY21-04-31072021-01,13,NO,NO,NO
949,B#-KHI-JULY21-03-27072021-dj,97,NO,NO,NO
3601,B#-KHI-MAY21-03-29052021-01-01,1,NO,NO,NO
3601,B#-KHI-AUG21-01-06082021,9,NO,NO,NO
3601,B#-KHI-AUG21-04-09082021,96,NO,NO,NO
952,B#-KHI-AUG21-01-06082021-dj,96,NO,NO,NO
3793,B#-KHI-AUG21-01-06082021,108,NO,NO,NO
3793,B#-KHI-JULY21-03-27072021-djj,49,NO,NO,NO
3793,B#-KHI-JULY21-03-27072021,26,NO,NO,NO
948,B#-KHI-AUG21-04-09082021-dj,15,NO,NO,NO
948,B#-KHI-JULY21-03-27072021-dj,225,NO,NO,NO
3742,B#-KHI-AUG21-02-06082021-01,144,NO,NO,NO
3742,B#-KHI-AUG21-02-06082021-01-djj,48,NO,NO,NO
947,B#-KHI-AUG21-01-06082021-dj,129,NO,NO,NO
3742,B#-KHI-JULY21-03-27072021,26,NO,NO,NO
947,B#-LM-12072021,1,NO,NO,NO
3799,B#-KHI-AUG21-01-06082021,49,NO,NO,NO
3799,B#-KHI-AUG21-01-06082021-djj,66,NO,NO,NO
951,B#-KHI-AUG21-02-06082021-01-dj,125,NO,NO,NO
951,B#-KHI-AUG21-01-06082021-dj,67,NO,NO,NO
2947,B#-KHI-AUG21-01-06082021,72,NO,NO,NO
